Date,Open,High,Low,Close,Volume,Change
03-Mar-22,234.99,234.99,220.01,232.69,"1,700",1.58
04-Mar-22,220.2,220.2,215.24,215.44,"5,100",-17.25
07-Mar-22,200.05,200.05,199.3,199.65,500,-15.79
08-Mar-22,200,200,200,200,200,0.35
09-Mar-22,199.95,200,199.95,200,100,0
10-Mar-22,200,200,190,197.95,400,-2.05
11-Mar-22,186,194,186,194,700,-3.95
14-Mar-22,196,198,182.25,182.25,"1,700",-11.75
15-Mar-22,190,190,182.25,182.25,100,0
16-Mar-22,189.9,193.9,186,189.78,"2,100",7.53
17-Mar-22,190,193.5,190,192.25,300,2.47
18-Mar-22,187.89,193.5,181,181,"2,000",-11.25
21-Mar-22,181.1,181.1,181,181,"1,400",0
22-Mar-22,181,181,170,170.91,"2,600",-10.09
24-Mar-22,163,171,163,169.07,"1,900",-1.84
25-Mar-22,168,168,168,168,200,-1.07
28-Mar-22,169,169,163,163,"3,200",-5
29-Mar-22,168,170,162,162.65,"6,900",-0.35
30-Mar-22,163,163,160,160,"1,600",-2.65
31-Mar-22,160,160,156,156.02,"9,000",-3.98
01-Apr-22,156,159.9,154,154.08,"9,600",-1.94
04-Apr-22,153.5,154,145,148,"1,300",-6.08
05-Apr-22,148,153,148,149,"2,600",1
06-Apr-22,149,150,148.05,149.61,"1,900",0.61
07-Apr-22,148,148,138.39,138.41,"21,100",-11.2
08-Apr-22,138.4,138.5,128.03,128.03,"35,200",-10.38
11-Apr-22,131,132,118.43,118.82,"535,800",-9.21
12-Apr-22,115.01,120.45,115,118.3,"102,800",-0.52
13-Apr-22,118,127.17,116.03,119.74,"604,700",1.44
14-Apr-22,122.8,122.8,115.89,116.99,"148,700",-2.75
15-Apr-22,117.1,118,108.22,108.9,"210,000",-8.09
18-Apr-22,109.6,109.8,104,105.39,"42,400",-3.51
19-Apr-22,106.89,113,106,109.39,"168,300",4
20-Apr-22,110,111.77,108.11,108.57,"28,900",-0.82
21-Apr-22,108,109,102,102.49,"59,400",-6.08
22-Apr-22,102.09,107,99,100.04,"78,500",-2.45
25-Apr-22,102.8,103,98.99,99.15,"143,800",-0.89
26-Apr-22,100.01,100.01,95,96.41,"43,400",-2.74
27-Apr-22,95.02,96.85,95,95.11,"25,700",-1.3
28-Apr-22,94.11,94.11,87.98,90.72,"45,500",-4.39
06-May-22,90.1,93.9,89.5,90.09,"22,800",-0.63
09-May-22,89,89,84,84.23,"14,300",-5.86
10-May-22,82.61,85.5,80.55,83.53,"31,200",-0.7
11-May-22,83,83,77.27,77.48,"29,500",-6.05
12-May-22,77,77,72,73.59,"36,900",-3.89
13-May-22,74,76.45,72,74.07,"59,400",0.48
16-May-22,72.11,73.85,71.25,71.52,"8,900",-2.55
17-May-22,72,76,71.1,72.84,"74,200",1.32
18-May-22,73.8,78.25,73.02,75.4,"66,500",2.56
19-May-22,75.48,80.5,75.48,77.6,"332,000",2.2
20-May-22,79.5,80,78,78.82,"39,400",1.22
23-May-22,78,78,73,73.06,"75,700",-5.76
24-May-22,73,78.2,73,77.33,"181,200",4.27
25-May-22,77,81,76.2,79.98,"41,500",2.65
26-May-22,79.99,84.8,78.8,81.86,"107,900",1.88
27-May-22,82.05,86.2,81.25,81.48,"110,100",-0.38
30-May-22,83,83.94,76,76.4,"105,100",-5.08
31-May-22,77,77.06,74.5,74.8,"20,400",-1.6
01-Jun-22,74.8,77.38,71.05,74.32,"152,200",-0.48
02-Jun-22,74,75.97,73.25,75.06,"134,600",0.74
03-Jun-22,75,75.15,73.1,74.69,"211,400",-0.37
06-Jun-22,75.5,79.25,75.11,77.07,"97,200",2.38
07-Jun-22,77.5,79,74,74.36,"99,300",-2.71
08-Jun-22,74.02,75,72,72.85,"75,600",-1.51
09-Jun-22,72.3,73.98,72.12,72.94,"25,000",0.09
10-Jun-22,73,74.5,72.51,74.08,"19,300",1.14
13-Jun-22,73.5,73.5,71.11,71.74,"15,000",-2.34
14-Jun-22,72,74.9,71.74,74.58,"58,000",2.84
15-Jun-22,74.7,75.38,74.59,74.89,"51,800",0.31
16-Jun-22,74,75.44,73.01,74.05,"66,900",-0.84
17-Jun-22,74.45,79.6,74.45,79.6,"190,600",5.55
20-Jun-22,83.99,85.57,83.99,85.57,"104,000",5.97
21-Jun-22,89,91,86,88.96,"586,900",3.39
22-Jun-22,91,91.25,84.01,85.27,"183,900",-3.69
23-Jun-22,86.84,87.25,81.52,82.09,"299,000",-3.18
24-Jun-22,82,85.9,77.11,78.32,"211,700",-3.77
27-Jun-22,79,80.9,79,80.67,"35,000",2.35
28-Jun-22,81.99,81.99,78.06,78.54,"65,100",-2.13
29-Jun-22,78.95,80.09,77,79.35,"38,600",0.81
30-Jun-22,79.36,85.3,79.36,85.3,"253,100",5.95
01-Jul-22,91.69,91.69,91.69,91.69,"26,500",6.39
04-Jul-22,98.56,98.56,98.56,98.56,"37,000",6.87
05-Jul-22,101.98,102,91.17,92.37,"640,000",-6.19
06-Jul-22,91.5,99.29,88.66,99.29,"307,000",6.92
07-Jul-22,100.99,106.73,100.99,106.73,"589,000",7.44
13-Jul-22,110.6,114.73,110,114.73,"217,500",8
14-Jul-22,118.89,120.8,113.91,115.45,"767,000",0.72
15-Jul-22,115.45,122.5,112,118.23,"676,500",2.78
18-Jul-22,115.01,116.39,109.37,109.95,"452,500",-8.28
19-Jul-22,111.5,114.9,101.72,102.61,"428,500",-7.34
20-Jul-22,103.1,104.98,98.1,101.98,"319,000",-0.63
21-Jul-22,102.1,103.89,98,99.4,"160,000",-2.58
22-Jul-22,100.25,103.7,99.1,101.34,"135,000",1.94
25-Jul-22,100,101.5,99.1,100.96,"72,500",-0.38
26-Jul-22,99.9,104.41,98.5,101.83,"203,500",0.87
27-Jul-22,103,109.46,103,109.46,"317,000",7.63
28-Jul-22,112.99,117.66,112.99,117.66,"133,500",8.2
29-Jul-22,120.99,123.39,113.35,114.71,"508,500",-2.95
01-Aug-22,113,114.2,108.31,109.33,"134,500",-5.38
02-Aug-22,107.5,112.2,104.5,108.11,"355,500",-1.22
03-Aug-22,109.74,116.21,108.3,113.43,"488,000",5.32
04-Aug-22,113.56,116.75,111.05,112.68,"187,500",-0.75
05-Aug-22,112.65,115.5,110.2,112.83,"222,500",0.15
10-Aug-22,114.5,116,112.5,113.29,"297,000",0.46
11-Aug-22,113.29,114.8,108.5,109.28,"152,500",-4.01
12-Aug-22,109.28,110.75,108.21,108.97,"147,500",-0.31
15-Aug-22,109.95,112.5,108.5,108.94,"299,500",-0.03
16-Aug-22,109.1,109.5,100.77,101.03,"442,500",-7.91
17-Aug-22,101.21,103,99.8,100.29,"105,500",-0.74
18-Aug-22,101.02,105.14,100.5,101.02,"302,000",0.73
19-Aug-22,102.84,107.25,102.5,104.41,"531,500",3.39
22-Aug-22,102.75,103.25,102,102.48,"42,000",-1.93
23-Aug-22,104.4,104.99,102.05,103.07,"96,500",0.59
24-Aug-22,103,103.2,100.5,100.97,"102,000",-2.1
25-Aug-22,101.5,101.5,99,99.27,"158,000",-1.7
26-Aug-22,99.9,100.89,99,99.65,"178,000",0.38
29-Aug-22,99.01,99.5,96.61,98.39,"73,500",-1.26
30-Aug-22,100,103.45,99.1,100.48,"296,000",2.09
31-Aug-22,100.8,102,99.51,99.92,"93,000",-0.56
01-Sep-22,100.99,101.4,98.51,98.76,"94,000",-1.16
02-Sep-22,99.5,99.5,97.52,97.76,"59,000",-1
05-Sep-22,98.15,98.15,95.15,95.36,"35,500",-2.4
06-Sep-22,92.6,94.25,92.6,93.78,"53,500",-1.58
07-Sep-22,93.55,95.5,93.32,93.63,"31,000",-0.15
08-Sep-22,93.5,94.54,90.56,91.65,"36,000",-1.98
09-Sep-22,89.25,93.85,89.22,91.35,"49,500",-0.3
12-Sep-22,91.15,92.9,90,90.14,"35,500",-1.21
13-Sep-22,91.2,91.8,89.5,89.55,"39,000",-0.59
14-Sep-22,89.55,90.61,89,90.22,"51,000",0.67
15-Sep-22,90.85,91.29,89.53,89.78,"36,000",-0.44
16-Sep-22,89.2,89.2,87.51,87.81,"42,500",-1.97
19-Sep-22,87.81,88.51,86.05,86.72,"20,000",-1.09
20-Sep-22,85.52,86,83.51,84,"36,500",-2.72
21-Sep-22,83.1,83.69,82.11,82.56,"33,500",-1.44
22-Sep-22,81.5,82,80,81.64,"37,000",-0.92
23-Sep-22,83,85.37,82,84.39,"69,500",2.75
26-Sep-22,85,90.71,85,90.71,"119,500",6.32
27-Sep-22,92.3,96.05,92.1,93.45,"188,500",2.74
28-Sep-22,94,94,90.15,90.3,"81,000",-3.15
29-Sep-22,90.9,90.9,88.01,88.02,"11,500",-2.28
30-Sep-22,89,89.49,87.2,87.51,"19,500",-0.51
03-Oct-22,87.7,89.3,87.01,87.47,"22,000",-0.04
04-Oct-22,88.5,89.35,87.8,87.97,"21,000",0.5
05-Oct-22,87,88.73,86.26,86.86,"18,500",-1.11
06-Oct-22,87.01,92.49,87,90.81,"135,500",3.95
07-Oct-22,91.8,93.5,88.5,90.5,"37,000",-0.31
10-Oct-22,92.8,92.8,89.55,91.09,"12,500",0.59
11-Oct-22,91.5,91.5,89,90.22,"20,000",-0.87
12-Oct-22,89.07,91,88.81,90.04,"28,500",-0.18
13-Oct-22,90.98,90.98,87.6,87.74,"40,000",-2.3
